"","direction","svarAddr","routeName","telNo","serviceAreaCode","serviceAreaName","brand","routeCode","serviceAreaCode2","convenience","maintenanceYn","truckSaYn"
"181","춘천","경북 안동시 풍산읍계평리 산128-2","중앙선","054-853-4061","A00080","안동(춘천)휴게소","엔제리너스 외 2","0550","000226","","X","X"
"182","춘천","경북 군위군 군위읍오곡리 산68-8","중앙선","054-383-7114","A00082","군위(춘천)휴게소","할리스 외 1","0550","000230","","X","X"
"183","춘천","충청북도 단양군 단성면하방리 56","중앙선","043-421-1673","A00113","단양팔경(춘천)휴게소","이마트24","0550","000221","","X","X"
"184","춘천","경북 칠곡군 동명면 중앙고속도로 122","중앙선","054-977-6901","A00133","동명(춘천)휴게소","탐앤탐스 외 1","0550","000250","","X","X"
"185","춘천","강원 원주시 호저면옥산리 219-1","중앙선","033-731-8194","A00149","원주(춘천)휴게소","엔제리너스 외 1","0550","000300","","X","X"
"186","통영","경남 산청군 단성면방목리 산68-7","통영대전선","055-973-9036","A00099","산청(통영)휴게소","엔제리너스 외 2","0351","000166","","X","X"
"187","통영","충남 금산군 군북면외부리 718","통영대전선","041-751-2892","A00105","금산인삼랜드(통영)휴게소","탐앤탐스 외 1","0351","000154","","X","X"
"188","통영","전라북도 장수군 계북면통영대전고속도로 147","통영대전선","063-353-5100","A00115","덕유산(통영)휴게소","탐앤탐스","0351","000158","","X","X"
"189","통영","경남 함양군 지곡면보산리산40-1","통영대전선,중부선","055-963-6717","A00130","함양(통영)휴게소","-","0350","000162","","X","X"
"190","통영","경남 고성군 대가면송계리 447-7번지","통영대전선","055-674-7028","A00153","고성공룡나라(통영)휴게소","엔제리너스 외 3","0351","000288","","X","O"
"191","통합","충남 당진군 신평면매산리 513","서해안선","041-358-0702","A00106","행담도휴게소","투썸플레이스 외 7","0150","000341","약국|","O","X"
"192","통합","경기 이천시 마장면각평리 319","영동선","031-645-0001","A00154","덕평휴게소","던킨도너츠 외 4","0500","000292","","X","X"
"193","통합","경기 이천시 마장면목리 산 13-32","중부선","031-630-0001","A00231","마장휴게소","할리스 외 5","0352","000409","","X","X"
"194","통합","강원 인제군 상남면 하남리 372번지","서울양양선","033-852-8619","A00263","내린천휴게소","던킨도너츠 외 4","0600","000513","","X","X"
"195","평택","경기 안성시 서운면신능리 51-16 외 23필지","평택제천선","031-673-3822","A00165","안성맞춤(평택)휴게소","할리스 외 2","0400","000331","","X","X"
"196","평택","충북 음성군 금왕읍용계리","평택제천선","043-877-7000","A00232","금왕(평택)휴게소","코바코 외 2","0400","000413","","X","X"
"197","평택","충북 충주시 산척면평택제천고속도로 109","평택제천선","043-844-2930","A00239","천등산(평택)휴게소","던킨도너츠 외 1","0400","000420","","X","X"
"198","포항","경북 영천시 임고면금대리 103","대구포항선","054-338-0062","A00140","영천(포항)휴게소","탐앤탐스 외 2","0207","000258","","X","O"
"199","포항","경북 경산시 와촌면강학리 산71-1 외 14필지","대구포항선","053-853-1002","A00143","와촌(포항)휴게소","엔제리너스 외 2","0207","000294","수유실|내고장특산물|수면실|","X","X"
"200","포항","경북 경주시 외동읍상석길 58-70","울산포항선","054-745-0631","A00246","외동(포항)휴게소","할리스 외 1","0652","000440","","X","X"
"201","하남","경기 이천시 신둔면용면리","중부선","031-638-1117","A00007","이천(하남)휴게소","탐앤탐스 외 1","0352","000141","샤워실|","X","X"
"202","하남","충북 청원군 오창면화산리 396-10","중부선","043-217-8303","A00038","오창(하남)휴게소","로띠번 외 2","0352","000149","","X","X"
"203","하남","충북 음성군 삼성면양덕리 100-1","중부선","043-878-6403","A00040","음성(하남)휴게소","엔제리너스 외 2","0352","000145","","X","X"
"204","함양","울산광역시 울주군 언양읍언양로 429","울산선","052-933-5242","A00270","울산행복드림쉼터","던킨 외 1","0160","000538","세탁실|","X","O"
